Year,Region,Number_of_Banks,Number_of_Branches,New_Charters
1998,Virgin Islands,2,19,0
1999,Virgin Islands,2,19,0
2000,Virgin Islands,2,21,0
2001,Virgin Islands,2,21,0
2002,Virgin Islands,2,21,0
2003,Virgin Islands,2,20,0
2004,Virgin Islands,2,19,0
2005,Virgin Islands,2,19,0
2006,Virgin Islands,3,19,1
2007,Virgin Islands,3,24,0
2008,Virgin Islands,2,24,0
2009,Virgin Islands,2,24,0
2010,Virgin Islands,2,25,0
2011,Virgin Islands,2,25,0
2012,Virgin Islands,2,25,0
2013,Virgin Islands,2,25,0
2014,Virgin Islands,2,24,0
2015,Virgin Islands,2,24,0
2016,Virgin Islands,2,24,0
2017,Virgin Islands,1,21,0
2018,Virgin Islands,1,21,0
2019,Virgin Islands,1,23,0
1934,Virginia,320,0,
1935,Virginia,322,68,
1936,Virginia,320,67,
1937,Virginia,320,67,
1938,Virginia,315,70,
1939,Virginia,313,72,
1940,Virginia,312,72,
1941,Virginia,314,70,
1942,Virginia,315,77,
1943,Virginia,313,87,
1944,Virginia,312,89,
1945,Virginia,313,89,
1946,Virginia,315,86,
1947,Virginia,314,88,
1948,Virginia,314,96,
1949,Virginia,312,109,
1950,Virginia,313,114,
1951,Virginia,315,120,
1952,Virginia,315,128,
1953,Virginia,316,144,
1954,Virginia,316,157,
1955,Virginia,316,176,
1956,Virginia,312,199,
1957,Virginia,312,217,
1958,Virginia,312,234,
1959,Virginia,309,255,
1960,Virginia,305,284,
1961,Virginia,302,320,
1962,Virginia,292,367,
1963,Virginia,280,430,
1964,Virginia,277,486,
1965,Virginia,262,558,
1966,Virginia,251,612,5
1967,Virginia,250,656,5
1968,Virginia,237,709,2
1969,Virginia,233,765,4
1970,Virginia,233,825,5
1971,Virginia,245,887,13
1972,Virginia,256,955,13
1973,Virginia,271,1045,20
1974,Virginia,288,1112,20
1975,Virginia,290,1173,7
1976,Virginia,283,1211,5
1977,Virginia,279,1255,4
1978,Virginia,262,1302,6
1979,Virginia,233,1372,7
1980,Virginia,229,1410,0
1981,Virginia,223,1443,3
1982,Virginia,202,1465,4
1983,Virginia,189,1507,4
1984,Virginia,176,1538,2
1985,Virginia,167,1571,8
1986,Virginia,171,1620,8
1987,Virginia,174,1662,6
1988,Virginia,184,1757,11
1989,Virginia,182,1822,2
1990,Virginia,178,1871,3
1991,Virginia,174,1872,1
1992,Virginia,170,1929,0
1993,Virginia,165,1862,0
1994,Virginia,164,1906,2
1995,Virginia,157,1957,1
1996,Virginia,154,1988,5
1997,Virginia,151,2045,2
1998,Virginia,152,2091,9
1999,Virginia,147,2150,13
2000,Virginia,143,2142,3
2001,Virginia,138,2171,1
2002,Virginia,130,2166,4
2003,Virginia,125,2086,3
2004,Virginia,125,2142,4
2005,Virginia,128,2175,4
2006,Virginia,111,2300,4
2007,Virginia,104,2340,4
2008,Virginia,103,2399,3
2009,Virginia,106,2549,3
2010,Virginia,104,2566,0
2011,Virginia,101,2562,0
2012,Virginia,99,2502,0
2013,Virginia,99,2470,0
2014,Virginia,91,2424,0
2015,Virginia,88,2423,0
2016,Virginia,80,2347,0
2017,Virginia,75,2275,0
2018,Virginia,71,2198,0
2019,Virginia,68,2165,1
1934,Washington,187,0,
1935,Washington,172,44,
1936,Washington,171,47,
1937,Washington,152,66,
1938,Washington,141,78,
1939,Washington,134,84,
1940,Washington,130,87,
1941,Washington,131,88,
1942,Washington,127,87,
1943,Washington,125,94,
1944,Washington,123,103,
1945,Washington,119,114,
1946,Washington,119,118,
1947,Washington,120,119,
1948,Washington,119,124,
1949,Washington,119,133,
1950,Washington,115,144,
1951,Washington,114,156,
1952,Washington,114,162,
1953,Washington,109,173,
1954,Washington,104,186,
1955,Washington,100,208,
1956,Washington,90,229,
1957,Washington,86,244,
1958,Washington,87,253,
1959,Washington,85,268,
1960,Washington,85,291,
1961,Washington,88,305,
1962,Washington,91,323,
1963,Washington,92,344,
1964,Washington,96,378,
1965,Washington,99,409,
1966,Washington,94,424,0
1967,Washington,94,452,4
1968,Washington,94,487,3
1969,Washington,92,523,2
1970,Washington,90,558,6
1971,Washington,91,589,3
1972,Washington,88,611,3
1973,Washington,86,640,3
1974,Washington,88,661,4
1975,Washington,92,685,6
1976,Washington,85,722,2
1977,Washington,87,766,4
1978,Washington,94,785,7
1979,Washington,101,884,7
1980,Washington,101,942,4
1981,Washington,99,918,3
1982,Washington,100,856,5
1983,Washington,100,868,0
1984,Washington,102,868,3
1985,Washington,99,881,2
1986,Washington,94,880,1
1987,Washington,90,896,0
1988,Washington,90,905,4
1989,Washington,92,957,6
1990,Washington,94,980,5
1991,Washington,93,1021,2
1992,Washington,94,1008,5
1993,Washington,87,1028,1
1994,Washington,86,1075,1
1995,Washington,86,1124,3
1996,Washington,82,1107,3
1997,Washington,79,1130,6
1998,Washington,77,1105,5
1999,Washington,80,1106,8
2000,Washington,80,1193,4
2001,Washington,76,1215,1
2002,Washington,80,1253,5
2003,Washington,78,1268,0
2004,Washington,77,1292,2
2005,Washington,78,1415,4
2006,Washington,82,1454,8
2007,Washington,80,1476,3
2008,Washington,81,1693,1
2009,Washington,79,1667,1
2010,Washington,65,1652,0
2011,Washington,58,1667,0
2012,Washington,58,1663,0
2013,Washington,50,1686,0
2014,Washington,47,1673,0
2015,Washington,40,1640,0
2016,Washington,39,1640,0
2017,Washington,37,1627,0
2018,Washington,33,1594,0
2019,Washington,32,1555,0
1934,West Virginia,169,0,
1935,West Virginia,170,2,
1936,West Virginia,175,2,
1937,West Virginia,175,1,
1938,West Virginia,174,1,
1939,West Virginia,173,1,
1940,West Virginia,173,1,
1941,West Virginia,175,0,
1942,West Virginia,175,0,
1943,West Virginia,175,0,
1944,West Virginia,173,0,
1945,West Virginia,174,1,
1946,West Virginia,175,0,
1947,West Virginia,177,0,
1948,West Virginia,177,0,
1949,West Virginia,176,0,
1950,West Virginia,176,0,
1951,West Virginia,177,0,
1952,West Virginia,178,0,
1953,West Virginia,178,0,
1954,West Virginia,179,0,
1955,West Virginia,177,0,
1956,West Virginia,178,0,
1957,West Virginia,179,0,
1958,West Virginia,180,0,
1959,West Virginia,181,0,
1960,West Virginia,181,0,
1961,West Virginia,180,0,
1962,West Virginia,181,0,
1963,West Virginia,181,0,
1964,West Virginia,183,0,
1965,West Virginia,186,0,
1966,West Virginia,189,0,3
1967,West Virginia,194,0,4
1968,West Virginia,195,4,1
1969,West Virginia,195,5,0
1970,West Virginia,200,5,5
1971,West Virginia,199,6,0
1972,West Virginia,203,8,4
1973,West Virginia,210,15,7
1974,West Virginia,214,26,3
1975,West Virginia,219,35,5
1976,West Virginia,222,49,3
1977,West Virginia,227,51,5
1978,West Virginia,231,56,4
1979,West Virginia,235,59,4
1980,West Virginia,237,64,3
1981,West Virginia,243,66,6
1982,West Virginia,241,84,0
1983,West Virginia,231,114,2
1984,West Virginia,227,158,2
1985,West Virginia,218,198,1
1986,West Virginia,213,239,2
1987,West Virginia,207,265,1
1988,West Virginia,199,288,0
1989,West Virginia,188,315,0
1990,West Virginia,180,333,1
1991,West Virginia,169,375,0
1992,West Virginia,164,379,1
1993,West Virginia,148,408,0
1994,West Virginia,122,431,0
1995,West Virginia,118,442,3
1996,West Virginia,113,461,3
1997,West Virginia,100,489,0
1998,West Virginia,89,505,3
1999,West Virginia,82,509,2
2000,West Virginia,70,524,1
2001,West Virginia,72,539,2
2002,West Virginia,69,547,0
2003,West Virginia,67,548,1
2004,West Virginia,66,549,0
2005,West Virginia,64,562,1
2006,West Virginia,64,563,0
2007,West Virginia,62,578,0
2008,West Virginia,61,591,0
2009,West Virginia,60,590,0
2010,West Virginia,60,592,0
2011,West Virginia,58,601,0
2012,West Virginia,57,601,0
2013,West Virginia,57,594,0
2014,West Virginia,56,592,0
2015,West Virginia,56,585,0
2016,West Virginia,54,577,0
2017,West Virginia,51,564,0
2018,West Virginia,48,555,0
2019,West Virginia,46,548,0
1934,Wisconsin,602,0,
1935,Wisconsin,591,104,
1936,Wisconsin,584,106,
1937,Wisconsin,579,112,
1938,Wisconsin,568,120,
1939,Wisconsin,560,125,
1940,Wisconsin,555,129,
1941,Wisconsin,553,133,
1942,Wisconsin,549,135,
1943,Wisconsin,548,136,
1944,Wisconsin,545,142,
1945,Wisconsin,546,146,
1946,Wisconsin,545,145,
1947,Wisconsin,543,149,
1948,Wisconsin,542,149,
1949,Wisconsin,543,150,
1950,Wisconsin,543,151,
1951,Wisconsin,545,151,
1952,Wisconsin,545,150,
1953,Wisconsin,548,149,
1954,Wisconsin,548,149,
1955,Wisconsin,547,149,
1956,Wisconsin,545,149,
1957,Wisconsin,546,151,
1958,Wisconsin,547,152,
1959,Wisconsin,550,152,
1960,Wisconsin,554,158,
1961,Wisconsin,561,159,
1962,Wisconsin,567,162,
1963,Wisconsin,573,165,
1964,Wisconsin,575,170,
1965,Wisconsin,577,170,
1966,Wisconsin,587,173,11
1967,Wisconsin,595,171,8
1968,Wisconsin,599,223,4
1969,Wisconsin,600,252,3
1970,Wisconsin,604,273,9
1971,Wisconsin,607,286,6
1972,Wisconsin,608,296,3
1973,Wisconsin,616,310,8
1974,Wisconsin,620,326,7
1975,Wisconsin,623,336,5
1976,Wisconsin,625,347,3
1977,Wisconsin,623,427,2
1978,Wisconsin,628,444,5
1979,Wisconsin,631,500,3
1980,Wisconsin,635,525,4
1981,Wisconsin,636,551,4
1982,Wisconsin,624,462,4
1983,Wisconsin,603,522,0
1984,Wisconsin,594,564,0
1985,Wisconsin,574,599,2
1986,Wisconsin,566,620,0
1987,Wisconsin,553,649,3
1988,Wisconsin,523,690,0
1989,Wisconsin,510,730,3
1990,Wisconsin,473,872,3
1991,Wisconsin,458,932,2
1992,Wisconsin,445,983,0
1993,Wisconsin,436,1012,2
1994,Wisconsin,399,1059,1
1995,Wisconsin,387,1086,5
1996,Wisconsin,364,1131,4
1997,Wisconsin,360,1204,4
1998,Wisconsin,344,1332,1
1999,Wisconsin,337,1386,3
2000,Wisconsin,315,1428,5
2001,Wisconsin,281,1487,2
2002,Wisconsin,273,1503,0
2003,Wisconsin,272,1530,1
2004,Wisconsin,270,1568,0
2005,Wisconsin,265,1679,3
2006,Wisconsin,265,1720,1
2007,Wisconsin,260,1735,4
2008,Wisconsin,249,1764,1
2009,Wisconsin,246,1754,0
2010,Wisconsin,242,1758,0
2011,Wisconsin,237,1752,0
2012,Wisconsin,233,1742,0
2013,Wisconsin,227,1690,0
2014,Wisconsin,220,1691,0
2015,Wisconsin,214,1661,0
2016,Wisconsin,195,1685,0
2017,Wisconsin,185,1652,0
2018,Wisconsin,177,1663,0
2019,Wisconsin,166,1619,0
1934,Wyoming,60,0,
1935,Wyoming,59,0,
1936,Wyoming,58,0,
1937,Wyoming,58,0,
1938,Wyoming,58,0,
1939,Wyoming,58,0,
1940,Wyoming,58,0,
1941,Wyoming,58,0,
1942,Wyoming,56,0,
1943,Wyoming,56,0,
1944,Wyoming,56,1,
1945,Wyoming,56,0,
1946,Wyoming,55,0,
1947,Wyoming,55,0,
1948,Wyoming,55,0,
1949,Wyoming,53,0,
1950,Wyoming,53,0,
1951,Wyoming,52,0,
1952,Wyoming,52,0,
1953,Wyoming,53,1,
1954,Wyoming,53,1,
1955,Wyoming,53,1,
1956,Wyoming,53,1,
1957,Wyoming,53,1,
1958,Wyoming,52,1,
1959,Wyoming,53,1,
1960,Wyoming,55,1,
1961,Wyoming,55,1,
1962,Wyoming,56,1,
1963,Wyoming,63,1,
1964,Wyoming,68,1,
1965,Wyoming,69,1,
1966,Wyoming,69,1,0
1967,Wyoming,69,1,0
1968,Wyoming,70,1,1
1969,Wyoming,70,2,0
1970,Wyoming,70,2,0
1971,Wyoming,71,2,1
1972,Wyoming,71,2,0
1973,Wyoming,71,2,0
1974,Wyoming,74,2,3
1975,Wyoming,77,2,3
1976,Wyoming,78,2,1
1977,Wyoming,82,3,4
1978,Wyoming,88,3,6
1979,Wyoming,94,3,6
1980,Wyoming,102,3,8
1981,Wyoming,108,4,6
1982,Wyoming,111,4,3
1983,Wyoming,111,4,1
1984,Wyoming,117,5,7
1985,Wyoming,115,5,0
1986,Wyoming,106,4,0
1987,Wyoming,102,5,0
1988,Wyoming,95,12,0
1989,Wyoming,71,36,0
1990,Wyoming,71,45,0
1991,Wyoming,62,48,0
1992,Wyoming,63,45,1
1993,Wyoming,55,54,0
1994,Wyoming,53,57,0
1995,Wyoming,53,69,0
1996,Wyoming,54,74,1
1997,Wyoming,53,96,1
1998,Wyoming,52,101,0
1999,Wyoming,50,114,1
2000,Wyoming,46,124,0
2001,Wyoming,45,136,0
2002,Wyoming,47,143,1
2003,Wyoming,43,153,0
2004,Wyoming,41,157,0
2005,Wyoming,40,163,0
2006,Wyoming,42,171,3
2007,Wyoming,40,175,0
2008,Wyoming,36,184,0
2009,Wyoming,34,192,0
2010,Wyoming,34,192,0
2011,Wyoming,34,185,0
2012,Wyoming,32,188,0
2013,Wyoming,31,189,0
2014,Wyoming,30,191,0
2015,Wyoming,30,188,0
2016,Wyoming,30,188,0
2017,Wyoming,30,183,0
2018,Wyoming,29,183,0
2019,Wyoming,28,185,0
